Biography,Adrien Brody,,,,
,Angelina Jolie,,,,
,Cate Blanchett,,,,
,Charlize Theron,,,,
,Christian Bale,,,,
,Colin Firth,,,,
,Daniel Day-Lewis,,,,
,Eddie Redmayne,,,,
,Forest Whitaker,,,,
,Geoffrey Rush,,,,
,Helen Mirren,,,,
,Hilary Swank,,,,
,Jamie Foxx,,,,
,Jared Leto,,,,
,Jennifer Connelly,,,,
,Jim Broadbent,,,,
,Julia Roberts,,,,
,Lupita Nyong'o,,,,
,Marcia Gay Harden,,,,
,Matthew McConaughey,,,,
,Melissa Leo,,,,
,Meryl Streep,,,,
,Philip Seymour Hoffman,,,,
,Reese Witherspoon,,,,
,Sandra Bullock,,,,
,Sean Penn,,,,
,,,,,
Action,Heath Ledger,,,,
,Russell Crowe,,,,
,,,,,
Adventure,Christoph Waltz,,,,
,Leonardo DiCaprio,,,,
,Renee Zellweger,,,,
,,,,,
Comedy,Alan Arkin,,,,
,Catherine Zeta-Jones,,,,
,Christopher Plummer,,,,
,"Cuba Gooding, Jr.",,,,
,Gwyneth Paltrow,,,,
,Helen Hunt,,,,
,Jack Nicholson,,,,
,Jean Dujardin,,,,
,Jennifer Lawrence,,,,
,Judi Dench,,,,
,,,,,
Crime,Benicio Del Toro,,Catherine Zeta-Jones,,
,Denzel Washington,,Charlize Theron,,
,Frances McDormand,,Heath Ledger,,
,Javier Bardem,,Hilary Swank,,
,Kevin Spacey,,Philip Seymour Hoffman,,
,Kim Basinger,,,,
,Sean Penn,,,,
,Susan Sarandon,,,,
,Tilda Swinton,,,,
,Tim Robbins,,,,
,,,,,
Drama,Brie Larson,,Adrien Brody,,Charlize Theron
,Cate Blanchett,,Alan Arkin,,Heath Ledger
,Christoph Waltz,,Angelina Jolie,,Hilary Swank
,Daniel Day-Lewis,,Benicio Del Toro,,Philip Seymour Hoffman
,George Clooney,,Cate Blanchett,,
,George Clooney,,Christian Bale,,
,Halle Berry,,Christoph Waltz,,
,Hilary Swank,,Christopher Plummer,,
,J.K. Simmons,,Colin Firth,,
,Jeff Bridges,,"Cuba Gooding, Jr.",,
,Jennifer Hudson,,Daniel Day-Lewis,,
,Julianne Moore,,Denzel Washington,,
,Juliette Binoche,,Eddie Redmayne,,
,Kate Winslet,,Forest Whitaker,,
,Kevin Spacey,,Frances McDormand,,
,Mark Rylance,,Geoffrey Rush,,
,Morgan Freeman,,Gwyneth Paltrow,,
,Natalie Portman,,Helen Hunt,,
,Nicolas Cage,,Helen Mirren,,
,Nicole Kidman,,Jack Nicholson,,
,Octavia Spencer,,Jamie Foxx,,
,Patricia Arquette,,Jared Leto,,
,Penalope Cruz,,Javier Bardem,,
,Rachel Weisz,,Jean Dujardin,,
,Robin Williams,,Jennifer Connelly,,
,,,Jennifer Lawrence,,
,,,Jim Broadbent,,
,,,Judi Dench,,
,,,Julia Roberts,,
,,,Kevin Spacey,,
,,,Kim Basinger,,
,,,Leonardo DiCaprio,,
,,,Lupita Nyong'o,,
,,,Marcia Gay Harden,,
,,,Matthew McConaughey,,
,,,Melissa Leo,,
,,,Meryl Streep,,
,,,Reese Witherspoon,,
,,,Renee Zellweger,,
,,,Russell Crowe,,
,,,Sandra Bullock,,
,,,Sean Penn,,
,,,Sean Penn,,
,,,Susan Sarandon,,
,,,Tilda Swinton,,
,,,Tim Robbins,,
,,,,,
History,Mark Rylance,,,Colin Firth,
,,,,Daniel Day-Lewis,
,,,,Forest Whitaker,
,,,,Lupita Nyong'o,
,,,,Meryl Streep,
,,,,Renee Zellweger,
,,,,Sean Penn,
,,,,,
Music,J.K. Simmons,,,Geoffrey Rush,
,Jeff Bridges,,,Jamie Foxx,
,Jennifer Hudson,,,Reese Witherspoon,
,,,,,
Mystery,Rachel Weisz,,,Kevin Spacey,
,,,,Kim Basinger,
,,,,Sean Penn,
,,,,Tilda Swinton,
,,,,Tim Robbins,
,,,,,
,,,,,
Romance,Halle Berry,,,Christopher Plummer,
,Juliette Binoche,,,"Cuba Gooding, Jr.",
,Kate Winslet,,,Eddie Redmayne,
,Nicolas Cage,,,Gwyneth Paltrow,
,Nicole Kidman,,,Helen Hunt,
,Penalope Cruz,,,Jack Nicholson,
,,,,Jean Dujardin,
,,,,Jeff Bridges,
,,,,Jennifer Lawrence,
,,,,Jim Broadbent,
,,,,Judi Dench,
,,,,Rachel Weisz,
,,,,Russell Crowe,
Sport,Hilary Swank,,,Christian Bale,
,Morgan Freeman,,,Melissa Leo,
,,,,Sandra Bullock,
Thriller,George Clooney,,,Benicio Del Toro,
,George Clooney,,,Denzel Washington,
,Natalie Portman,,,Frances McDormand,
,,,,Javier Bardem,
,,,,Leonardo DiCaprio,
,,,,Mark Rylance,
,,,,,
,,,,,
Western,Christoph Waltz,,,,
,,,,,
Musical,Catherine Zeta-Jones,,,,
,Jennifer Hudson,,,,
,,,,,
War,,,,Adrien Brody,
,,,,Christoph Waltz,
,,,,Juliette Binoche,